sample	Project	Target	Cell_Type	Genotype	Condition	Time	Bio_Rep	Tech_Rep	Seq_Rep	Tag	Read1	Read2
CI_ChIP_CTCF_Mac_1.1.1	CI	CTCF	Mac	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_macrophage1_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_macrophage1_2.fastq.gz
CI_ChIP_CTCF_Mac_2.1.1	CI	CTCF	Mac	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_macrophage2_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_macrophage2_2.fastq.gz
CI_ChIP_CTCF_Mon_1.1.1	CI	CTCF	Mon	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_monocyte1_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_monocyte1_2.fastq.gz
CI_ChIP_CTCF_Mon_2.1.1	CI	CTCF	Mon	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_monocyte2_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_CTCF_monocyte2_2.fastq.gz
CI_ChIP_H3K27ac_Mac_1.1.1	CI	H3K27ac	Mac	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_macrophage1_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_macrophage1_2.fastq.gz
CI_ChIP_H3K27ac_Mac_2.1.1	CI	H3K27ac	Mac	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_macrophage2_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_macrophage2_2.fastq.gz
CI_ChIP_H3K27ac_Mon_1.1.1	CI	H3K27ac	Mon	WT	PMA	NAN	1	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_monocyte1_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_monocyte1_2.fastq.gz
CI_ChIP_H3K27ac_Mon_2.1.1	CI	H3K27ac	Mon	WT	PMA	NAN	2	1	1	S	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_monocyte2_1.fastq.gz	/proj/phanstiel_lab/SHARE/collections/subsamples/chip/PE_1M/subsampled/sub_H3K27ac_monocyte2_2.fastq.gz
